windows,car,lights,gas,convenience,sdpd,lampdist,crime
0,6,0,736,468,2421,120.0,ROBBERY
0,3,2,203,258,1289,31.62,ROBBERY
0,5,4,352,362,309,14.14,ROBBERY
0,5,4,899,899,1329,22.36,ROBBERY
0,5,5,330,383,202,14.14,ROBBERY
8,3,23,291,390,1422,10.0,ROBBERY
2,2,3,735,815,669,10.0,ROBBERY
0,7,1,1244,1244,797,22.36,ROBBERY
0,2,0,2295,104,852,41.23,ROBBERY
0,6,3,1104,1421,1278,22.36,ROBBERY
0,7,1,317,317,1547,14.14,ROBBERY
0,2,1,556,905,1354,120.0,ROBBERY
0,5,6,554,232,300,28.28,ROBBERY
0,7,5,665,863,434,10.0,ROBBERY
0,2,0,1416,1129,1214,41.23,ROBBERY
1,6,2,776,1132,1300,14.14,ROBBERY
0,3,0,656,1002,1641,41.23,ROBBERY
0,6,1,1178,1491,2341,14.14,ROBBERY
1,5,0,797,88,1879,80.62,ROBBERY
0,2,5,1107,359,1218,10.0,ROBBERY
0,1,2,1220,1339,129,22.36,ROBBERY
0,6,2,728,559,1286,22.36,ROBBERY
0,2,0,1625,792,3721,60.0,ROBBERY
0,2,0,1804,1791,3266,44.72,ROBBERY
0,4,3,107,107,1283,22.36,ROBBERY
0,9,0,457,762,394,90.0,ROBBERY
5,8,7,482,199,534,10.0,ROBBERY
0,1,2,1074,726,3332,20.0,ROBBERY
0,4,2,209,213,1197,14.14,ROBBERY
0,3,3,803,558,2482,10.0,ROBBERY
1,7,0,2458,674,5239,36.05,ROBBERY
0,5,1,567,170,1864,14.14,ROBBERY
0,6,0,505,3819,1680,53.85,ROBBERY
0,6,3,1231,620,3038,14.14,ROBBERY
0,6,0,760,1001,1624,100.49,ROBBERY
0,3,1,855,1756,644,20.0,ROBBERY
0,3,3,1304,7,1860,22.36,ROBBERY
1,4,1,454,323,2297,41.23,ROBBERY
1,6,8,341,341,706,10.0,ROBBERY
0,5,0,1655,2192,414,70.71,ROBBERY
0,3,1,644,1433,5044,50.0,ROBBERY
