windows,car,lights,gas,convenience,sdpd,lampdist,crime
0,7,4,885,1420,3698,15.491717044171148,safe
0,1,0,2100,1531,1815,43.87294111302671,safe
0,4,0,578,486,2147,70.87710048646643,safe
0,1,1,1238,1239,2648,25.571291149356885,safe
0,1,0,9624,10812,13115,39.37283500755285,safe
0,1,2,2128,2124,4993,18.176018039541518,safe
0,0,0,766,762,2958,53.97095590420391,safe
0,2,1,747,781,2462,33.50619889634996,safe
0,6,0,855,869,3348,37.882437818749366,safe
0,4,0,1346,1346,3614,48.86044826748624,safe
0,3,0,2148,2148,4268,48.854546083880244,safe
0,1,2,3626,3626,7377,24.584712439490342,safe
0,1,1,6270,6270,8516,16.162894191188748,safe
0,1,1,1805,1850,6792,25.58567540250721,safe
0,0,0,1426,1426,3007,62.53183611534682,safe
0,1,0,1992,1248,16531,174.76102603650529,safe
0,0,0,1111,1433,15650,236.87638073553225,safe
0,0,0,2678,3513,13784,79.21396883469531,safe
0,1,0,277,1094,2931,220.97743151058063,safe
0,1,0,1771,1771,3053,34.22911316280834,safe
0,1,0,2144,3300,1669,51.43411425085162,safe
0,1,0,958,2857,2246,44.63312972788313,safe
0,6,0,1365,1365,918,102.13889495023665,safe
0,2,1,1544,1544,1098,22.019121585356288,safe
0,1,0,1634,1604,1158,50.506903122701,safe
0,2,1,1439,1439,843,30.174814696234947,safe
0,5,2,1441,1441,994,22.43504569276351,safe
0,2,1,1341,1341,893,29.320234569688807,safe
0,3,1,1289,1289,844,21.944540445307744,safe
0,5,0,1082,1082,636,34.92738305801035,safe
0,4,1,1122,1122,676,16.302525876973654,safe
0,4,1,1051,1051,605,7.21388293816517,safe
0,5,1,1535,1414,969,26.682024017557076,safe
0,5,0,1361,1361,916,52.79143387714007,safe
0,2,0,1116,1116,670,31.55124399792041,safe
1,7,1,581,581,520,16.932431209189016,safe
0,3,0,168,168,566,32.866293375100014,safe
0,1,1,269,269,714,26.820425630102644,safe
0,4,1,463,463,910,8.41599412823338,safe
0,4,0,578,578,1024,32.85709341601543,safe
0,5,0,823,823,989,91.35374534662716,safe
0,3,0,896,896,1107,38.454946105141524,safe
0,3,1,1081,1431,1291,21.597149560330443,safe
0,1,0,1115,1130,1325,69.56791453402515,safe
0,4,0,1131,1076,1271,45.12361018161515,safe
1,5,2,1557,1856,1323,18.674125817717183,safe
0,5,1,1414,1763,1184,29.65357809325657,safe
0,1,0,1399,1399,1065,45.50407231409175,safe
0,4,1,832,832,643,25.470544366401906,safe
0,4,1,1070,1643,1680,18.65629041212284,safe
0,5,2,576,1502,2174,21.9849852901639,safe
0,3,1,1080,1053,2326,20.188559380939655,safe
0,4,0,1468,815,2233,45.2254129419203,safe
1,5,1,1000,1064,2259,21.97277643201604,safe
0,3,1,1024,1040,2283,9.312221498578731,safe
0,2,1,1020,1188,2266,19.393153748468162,safe
0,2,0,1277,886,1783,66.52861339065821,safe
0,3,1,1315,848,1821,29.9278215359368,safe
0,2,2,1205,1778,1545,24.81482296785069,safe
0,3,1,1386,2160,1364,3.489900989075674,safe
0,1,5,1601,1545,1464,24.76595108743539,safe
0,4,1,1489,596,1974,22.10251930386402,safe
0,6,0,1332,753,2131,59.17463089797735,safe
0,5,1,939,949,2327,21.3016626002712,safe
0,5,1,822,822,2028,19.600859657345406,safe
0,6,1,1073,1012,2390,13.821211241253335,safe
0,4,1,1363,413,2794,28.508926274327692,safe
0,5,0,1023,1141,3139,115.82810966260477,safe
0,3,0,1030,641,2535,291.6239635231767,safe
0,0,1,1270,1270,1707,26.27245607602273,safe
0,1,1,1226,1091,1657,6.2553348273923,safe
0,5,0,1462,1462,1899,76.44173039569544,safe
0,4,1,882,3175,2611,14.138104188861186,safe
0,3,0,945,950,3197,50.25644941639975,safe
0,8,0,1125,1125,2212,32.221459599097344,safe
0,4,0,1702,715,2599,33.662305217928555,safe
0,5,0,767,2375,1811,70.04660497218772,safe
0,1,0,285,290,2173,84.25028420784224,safe
0,7,1,529,2610,2047,14.539600909038732,safe
0,3,1,403,1075,1405,10.190371531450046,safe
0,1,0,169,1023,1638,33.065309821240184,safe
0,2,1,676,802,1132,18.28533498538305,safe
0,6,2,403,507,340,10.1097886987764,safe
0,9,0,590,428,653,93.82961911276443,safe
0,7,0,136,674,199,44.639720257117325,safe
0,8,1,21,789,83,35.714597039613835,safe
0,4,0,201,317,138,80.92419430521196,safe
0,4,0,105,105,350,62.52748998931895,safe
0,1,0,351,560,288,48.74989763449014,safe
0,2,0,1988,1918,1996,232.6292219547633,safe
0,6,1,394,906,398,18.899728582059268,safe
0,5,5,1058,1106,994,15.378256457888105,safe
1,5,0,441,636,453,59.558398878939656,safe
0,7,1,695,671,708,14.773377463516706,safe
1,5,0,544,739,557,62.52564611304283,safe
0,5,0,656,851,668,42.31804565311285,safe
0,4,0,1005,702,1017,35.89815849852857,safe
0,8,0,876,573,888,53.924129810695035,safe
0,4,0,340,814,343,99.67934119203235,safe
0,7,0,765,1257,768,72.42555567757647,safe
0,5,0,194,817,256,31.885021944978128,safe
0,7,1,206,644,268,27.80946176580071,safe
1,4,0,606,111,619,44.98360680188904,safe
0,5,1,629,425,933,18.9449419528292,safe
0,2,0,514,514,1047,41.50750494454169,safe
0,8,0,513,513,890,73.62422698783392,safe
2,5,0,605,897,592,46.252906325328674,safe
0,5,5,665,765,962,15.305135954146486,safe
4,3,4,576,671,868,12.663223535366065,safe
5,2,4,590,347,1549,10.923732662569856,safe
0,1,6,689,447,1649,9.394929062412283,safe
0,3,7,995,1172,1954,17.849147051792578,safe
1,2,6,1095,318,1613,11.574326258344808,safe
0,5,0,542,544,530,49.21269919958496,safe
1,5,5,433,651,421,10.970140037292753,safe
4,3,1,629,747,616,26.180671226132148,safe
0,5,3,597,715,584,25.280981259397112,safe
0,5,1,726,671,706,24.764980476070523,safe
0,5,2,510,577,260,13.325508137481613,safe
0,5,2,329,758,218,15.6963662416817,safe
0,3,5,309,118,796,9.044255861201568,safe
0,6,3,553,191,661,8.051908106520857,safe
0,5,0,665,303,771,36.90381481733828,safe
0,7,2,714,295,703,9.635652316233006,safe
0,4,2,583,430,644,20.354165155189566,safe
2,5,4,451,162,1025,8.271614360367986,safe
1,3,3,526,99,948,12.83045660127343,safe
0,4,0,487,60,796,32.669557593502205,safe
2,2,4,587,128,779,15.938313938813431,safe
2,3,4,538,177,915,7.3860649676249555,safe
3,4,4,664,151,699,14.971676754796588,safe
0,4,4,505,279,573,20.1920447450462,safe
0,5,2,482,530,544,4.810136160156246,safe
0,1,0,138,138,1141,51.13156611689417,safe
0,8,0,346,346,1280,38.25784158035803,safe
0,4,1,462,462,1097,17.55624976194902,safe
0,4,1,396,396,932,8.641704010920698,safe
0,4,0,354,354,1083,37.726261289805045,safe
0,4,1,245,245,1352,4.706407015051743,safe
1,3,1,599,599,923,15.404247324372294,safe
0,1,0,536,536,1224,49.42365280086739,safe
0,1,0,579,579,1098,66.94289630084003,safe
1,2,3,446,249,1411,19.63929059133275,safe
6,6,3,622,426,1183,19.700726789178493,safe
0,5,1,414,218,1144,16.175750679600597,safe
0,3,1,239,326,928,11.40757651666646,safe
0,2,0,281,568,685,35.76328592881264,safe
0,3,1,512,481,747,25.56322440725625,safe
1,0,0,583,545,918,67.46378722819973,safe
0,7,1,681,440,938,30.96336837940043,safe
0,0,0,731,534,1589,66.58794549016582,safe
0,6,1,1020,733,1516,10.115782390622742,safe
3,1,0,907,620,1520,52.93939174410841,safe
0,1,0,817,620,1502,51.97516584911264,safe
0,5,1,981,694,2055,27.16457893106781,safe
0,3,2,868,581,1942,26.605999843934068,safe
0,1,1,1333,795,2157,29.31476600169928,safe
0,5,0,954,667,2028,63.89082492389636,safe
0,2,1,1059,772,2133,18.239896368025935,safe
0,5,0,825,538,1790,57.62768084874882,safe
0,4,0,733,446,1699,68.6394168825407,safe
0,4,1,1493,770,2316,15.773827138599383,safe
0,3,0,1615,892,2438,50.68144370696555,safe
2,4,0,1749,1025,2572,106.14161611646931,safe
0,5,0,1731,1008,2555,40.685839561900465,safe
0,1,0,331,286,1448,49.488353930798425,safe
0,1,0,492,296,1458,78.62775866361959,safe
0,1,0,214,404,1198,52.99236439012062,safe
0,3,1,217,285,1202,19.807212436895725,safe
0,2,1,13,359,998,19.732205855931305,safe
0,5,3,119,406,1045,11.265853831426499,safe
0,6,2,196,483,885,7.765061823504468,safe
0,7,0,927,499,1189,50.56326598716405,safe
0,4,1,973,415,1274,9.013966208543748,safe
1,4,0,882,324,1282,42.84767232893089,safe
0,5,0,931,614,1193,42.40125077564247,safe
0,7,0,806,378,1068,40.36710674955443,safe
0,2,0,1052,725,1315,37.810790787905496,safe
0,2,1,694,534,956,12.793674720676384,safe
0,1,1,792,633,1055,28.924453045417053,safe
0,4,0,885,725,1147,53.993376045422075,safe
0,6,0,626,368,919,48.506046419894,safe
1,4,0,623,463,948,54.79869877532919,safe
1,5,0,506,347,831,44.35325110379792,safe
7,3,1,501,342,826,21.52804632359918,safe
0,2,0,712,552,1155,94.09050063576497,safe
0,5,0,515,355,1157,35.36484013768742,safe
3,6,0,382,223,1025,96.05683026815365,safe
2,1,0,273,214,1015,61.19364107879394,safe
3,1,0,461,402,1204,59.868647202039604,safe
