id,windows,car,lights,gas,convience,sdpd,lampdist,lat,lon,crime
s_0,0,7,2,0,0,0,15.491717044171148,32.5947489,-117.0840969,safe
s_1,0,1,0,0,0,0,43.87294111302671,32.5841174,-117.0737825,safe
s_2,0,4,0,0,0,0,70.87710048646643,32.5840089,-117.0651994,safe
s_3,0,1,0,0,0,0,25.571291149356885,32.5573874,-117.0841227,safe
s_4,0,1,0,0,0,0,39.37283500755285,32.5468248,-117.06584070000001,safe
s_5,0,1,1,0,0,0,18.176018039541518,32.5657065,-117.04987620000001,safe
s_6,0,0,0,0,0,0,53.97095590420391,32.561149199999996,-117.04936129999999,safe
s_7,0,2,0,0,0,0,33.50619889634996,32.5714932,-117.05820179999999,safe
s_8,0,6,0,0,0,0,37.882437818749366,32.5838609,-117.05253700000002,safe
s_9,0,4,0,0,0,0,48.86044826748624,32.577777600000005,-117.045437,safe
s_10,0,3,0,0,0,0,48.854546083880244,32.5813368,-117.04547420000002,safe
s_11,0,1,0,0,0,0,24.584712439490342,32.5760652,-117.0225679,safe
s_12,0,1,1,0,0,0,16.162894191188748,32.5739431,-117.0272304,safe
s_13,0,1,0,0,0,0,25.58567540250721,32.5692968,-117.014256,safe
s_14,0,0,0,0,0,0,62.53183611534682,32.5640063,-117.0334967,safe
s_15,0,1,0,0,0,0,174.76102603650529,32.583537,-117.0009341,safe
s_16,0,0,0,0,0,0,236.87638073553225,32.5758706,-116.99896000000001,safe
s_17,0,0,0,0,0,0,79.21396883469531,32.5593624,-116.9884098,safe
s_18,0,1,0,0,0,0,220.97743151058063,32.567825899999995,-116.95167430000001,safe
s_19,0,1,0,0,0,0,34.22911316280834,32.553357899999995,-116.9532193,safe
s_20,0,1,0,0,0,0,51.434114250851614,32.704186199999995,-117.10700279999999,safe
s_21,0,1,0,0,0,0,44.63312972788313,32.7040598,-117.1022821,safe
s_22,0,6,0,0,0,0,102.13889495023665,32.7022782,-117.11155890000002,safe
s_23,0,2,0,0,0,0,22.019121585356288,32.702260100000004,-117.10956329999999,safe
s_24,0,1,0,0,0,0,50.506903122701,32.7048602,-117.11211680000001,safe
s_25,0,2,0,0,0,0,30.174814696234943,32.7042102,-117.114681,safe
s_26,0,5,0,0,0,0,22.43504569276351,32.7037859,-117.112546,safe
s_27,0,2,0,0,0,0,29.320234569688807,32.7028831,-117.1125245,safe
s_28,0,3,0,0,0,0,21.944540445307744,32.7035918,-117.11394609999999,safe
s_29,0,5,0,0,0,1,34.92738305801035,32.704147,-117.1168482,safe
s_30,0,4,1,0,0,1,16.302525876973654,32.7035963,-117.11576459999999,safe
s_31,0,4,1,0,0,1,7.21388293816517,32.703099800000004,-117.11589340000002,safe
s_32,0,5,0,0,0,0,26.682024017557076,32.7048963,-117.11806059999999,safe
s_33,0,5,0,0,0,1,52.79143387714007,32.7038942,-117.1187794,safe
s_34,0,2,0,0,0,1,31.55124399792041,32.702169899999994,-117.11876869999999,safe
s_35,1,7,1,0,0,1,16.932431209189016,32.7012034,-117.12312720000001,safe
s_36,0,3,0,0,0,0,32.866293375100014,32.6951494,-117.1189088,safe
s_37,0,1,0,0,0,0,26.820425630102644,32.6951832,-117.11675090000001,safe
s_38,0,4,1,0,0,0,8.41599412823338,32.695246399999995,-117.11458370000001,safe
s_39,0,4,0,0,0,0,32.85709341601543,32.6942171,-117.11459440000002,safe
s_40,0,5,0,0,0,0,91.35374534662716,32.697088300000004,-117.111585,safe
s_41,0,3,0,0,0,0,38.454946105141524,32.6980494,-117.11150009999999,safe
s_42,0,3,0,0,0,0,21.597149560330443,32.6980088,-117.1094563,safe
s_43,0,1,0,0,0,0,69.56791453402515,32.6975548,-117.10855659999999,safe
s_44,0,4,0,0,0,0,45.12361018161515,32.6970808,-117.1085727,safe
s_45,1,5,2,0,0,0,18.674125817717183,32.7010705,-117.10805359999999,safe
s_46,0,5,0,0,0,0,29.65357809325657,32.7003212,-117.1086544,safe
s_47,0,1,0,0,0,0,45.50407231409175,32.7008223,-117.1093733,safe
s_48,0,4,0,0,0,1,25.470544366401906,32.7001081,-117.11467590000001,safe
s_49,0,4,1,0,0,0,18.65629041212284,32.7005466,-117.1025322,safe
s_50,0,5,1,0,0,0,21.9849852901639,32.7004924,-117.09725359999999,safe
s_51,0,3,1,0,0,0,20.188559380939655,32.698695799999996,-117.10049369999999,safe
s_52,0,4,0,0,0,0,45.2254129419203,32.697729700000004,-117.1012769,safe
s_53,1,5,1,0,0,0,21.97277643201604,32.698153999999995,-117.09916340000001,safe
s_54,0,3,1,0,0,0,9.312221498578731,32.6979374,-117.09915259999998,safe
s_55,0,2,1,0,0,0,19.393153748468162,32.698686699999996,-117.09985,safe
s_56,0,2,0,0,0,0,66.52861339065821,32.699123,-117.10310290000001,safe
s_57,0,3,0,0,0,0,29.9278215359368,32.6987799,-117.10307069999999,safe
s_58,0,2,0,0,0,0,24.81482296785069,32.7005464,-117.1039719,safe
s_59,0,3,1,0,0,0,3.489900989075674,32.7005374,-117.10590309999999,safe
s_60,0,1,0,0,0,0,24.76595108743539,32.6988448,-117.107349,safe
s_61,0,4,0,0,0,0,22.102519303864025,32.6916333,-117.10812209999999,safe
s_62,0,6,0,0,0,0,59.174630897977345,32.690224699999995,-117.1081007,safe
s_63,0,5,1,0,0,0,21.3016626002712,32.688454899999996,-117.10807920000002,safe
s_64,0,5,1,0,0,0,19.600859657345406,32.686703200000004,-117.1070385,safe
s_65,0,6,1,0,0,0,13.821211241253335,32.6887529,-117.10910919999999,safe
s_66,0,4,0,0,0,0,28.508926274327692,32.6894572,-117.1024358,safe
s_67,0,5,0,0,0,0,115.82810966260477,32.6880486,-117.0961273,safe
s_68,0,3,0,0,0,0,291.6239635231767,32.6863691,-117.0966744,safe
s_69,0,0,0,0,0,0,26.27245607602273,32.6913714,-117.1142268,safe
s_70,0,1,1,0,0,0,6.2553348273923,32.6913714,-117.11113689999999,safe
s_71,0,5,0,0,0,0,76.44173039569544,32.6908477,-117.11564299999999,safe
s_72,0,4,1,0,0,0,14.138104188861186,32.6889516,-117.11476329999999,safe
s_73,0,3,0,0,0,0,50.25644941639975,32.68624260000001,-117.1118879,safe
s_74,0,8,0,0,0,0,32.221459599097344,32.6877235,-117.10899109999998,safe
s_75,0,4,0,0,0,0,33.662305217928555,32.6908116,-117.10489270000001,safe
s_76,0,5,0,0,0,0,70.04660497218772,32.6882924,-117.11737040000001,safe
s_77,0,1,0,0,0,0,84.25028420784224,32.685448,-117.11431259999999,safe
s_78,0,7,1,0,0,0,14.539600909038732,32.6869379,-117.1154284,safe
s_79,0,3,1,0,0,0,10.190371531450046,32.6911999,-117.12539550000001,safe
s_80,0,1,0,0,0,0,33.065309821240184,32.689105100000006,-117.1254385,safe
s_81,0,2,1,0,0,0,18.28533498538305,32.6928251,-117.12668300000001,safe
s_82,0,6,1,0,0,1,10.1097886987764,32.6959359,-117.13721740000001,safe
s_83,0,9,0,0,0,1,93.82961911276443,32.6942565,-117.14155190000001,safe
s_84,0,7,0,0,0,1,44.639720257117325,32.6941933,-117.1396422,safe
s_85,0,8,0,1,0,1,35.714597039613835,32.693525199999996,-117.138698,safe
s_86,0,4,0,0,0,1,80.92419430521196,32.693832199999996,-117.13686340000001,safe
